type,name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize
mammal,aardvark,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,no,no,yes
mammal,antelope,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,yes
fish,bass,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,no
mammal,bear,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,no,no,yes
mammal,boar,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes
mammal,buffalo,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,yes
mammal,calf,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,yes,yes
fish,carp,no,no,yes,no,no,yes,no,yes,yes,no,no,yes,0,yes,yes,no
fish,catfish,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,no
mammal,cavy,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,no,yes,no
mammal,cheetah,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes
bird,chicken,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,2,yes,yes,no
fish,chub,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,no
invertebrate,clam,no,no,yes,no,no,no,yes,no,no,no,no,no,0,no,no,no
invertebrate,crab,no,no,yes,no,no,yes,yes,no,no,no,no,no,4,no,no,no
invertebrate,crayfish,no,no,yes,no,no,yes,yes,no,no,no,no,no,6,no,no,no
bird,crow,no,yes,yes,no,yes,no,yes,no,yes,yes,no,no,2,yes,no,no
mammal,deer,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,yes
fish,dogfish,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,yes
mammal,dolphin,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,0,yes,no,yes
bird,dove,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,2,yes,yes,no
bird,duck,no,yes,yes,no,yes,yes,no,no,yes,yes,no,no,2,yes,no,no
mammal,elephant,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,yes
bird,flamingo,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,2,yes,no,yes
insect,flea,no,no,yes,no,no,no,no,no,no,yes,no,no,6,no,no,no
amphibian,frog,no,no,yes,no,no,yes,yes,yes,yes,yes,no,no,4,no,no,no
mammal,fruitbat,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,2,yes,no,no
mammal,giraffe,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,yes
mammal,girl,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,2,no,yes,yes
insect,gnat,no,no,yes,no,yes,no,no,no,no,yes,no,no,6,no,no,no
mammal,goat,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,yes,yes
mammal,gorilla,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,2,no,no,yes
bird,gull,no,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,2,yes,no,no
fish,haddock,no,no,yes,no,no,yes,no,yes,yes,no,no,yes,0,yes,no,no
mammal,hamster,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,yes,no
mammal,hare,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,no
bird,hawk,no,yes,yes,no,yes,no,yes,no,yes,yes,no,no,2,yes,no,no
fish,herring,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,no
insect,honeybee,yes,no,yes,no,yes,no,no,no,no,yes,yes,no,6,no,yes,no
insect,housefly,yes,no,yes,no,yes,no,no,no,no,yes,no,no,6,no,no,no
bird,kiwi,no,yes,yes,no,no,no,yes,no,yes,yes,no,no,2,yes,no,no
insect,ladybird,no,no,yes,no,yes,no,yes,no,no,yes,no,no,6,no,no,no
bird,lark,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,2,yes,no,no
mammal,leopard,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes
mammal,lion,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes
invertebrate,lobster,no,no,yes,no,no,yes,yes,no,no,no,no,no,6,no,no,no
mammal,lynx,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes
mammal,mink,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,no,4,yes,no,yes
mammal,mole,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,no
