type,name,atrophy,behavior,cognitive,alertnesss,coordination,cranial_nerve,dysautonomia,EOMS,fatigue,gait,head,hyperkinesia,hyperreflexia,hypertonia,hypokinesia,hyporeflexia,hypotonia,neck,pain,seizure,sensory,skin,speech,sphincter,tremor,vision,weakness,misc
ataxia,Acute_infantile_liver_failure_cerebellar_ataxia_peripheral_sensory_motor_neuropathy_syndrome,1,0,1,0,0,0,0,2,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,2,0,0
ataxia,Adult_onset_autosomal_recessive_cerebellar_ataxia,1,0,1,0,3,1,0,5,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0
ataxia,Ataxia_with_vitamin_E_deficiency,1,0,1,0,3,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,2,0,0,2,1,1
ataxia,Ataxia_hypogonadism_choroidal_dystrophy_syndrome,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ataxia,Ataxia_oculomotor_apraxia_type_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ataxia,Ataxia_oculomotor_apraxia_type_4,1,1,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ataxia,Ataxia_pancytopenia_syndrome,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ataxia,Ataxia_photosensitivity_short_stature_syndrome,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2
ataxia,Ataxia_tapetoretinal_degeneration_syndrome,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ataxia,Ataxia_telangiectasia,1,0,1,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,2
ataxia,Ataxia_telangiectasia_like_disorder,0,0,0,0,3,0,0,6,0,1,1,4,1,0,1,2,0,0,0,0,0,0,1,0,1,0,0,2
ataxia,Autosomal_dominant_cerebellar_ataxia,2,0,3,0,0,2,0,6,0,0,0,8,1,2,1,2,0,0,0,0,4,0,3,0,4,2,1,0
ataxia,Autosomal_dominant_cerebellar_ataxia_deafness_narcolepsy_syndrome,0,0,3,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,2,2,0,0
ataxia,Autosomal_dominant_spastic_ataxia_type_1,1,0,1,0,2,1,0,2,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ataxia,Autosomal_recessive_ataxia_Beauce_type,2,1,0,0,3,1,0,5,0,0,0,1,2,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1
ataxia,Autosomal_recessive_ataxia_due_to_PEX10_deficiency,0,0,1,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ataxia,Autosomal_recessive_ataxia_due_to_ubiquinone_deficiency,0,0,1,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ataxia,Autosomal_recessive_cerebellar_ataxia_due_to_CWF19L1_deficiency,0,0,1,0,3,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1
ataxia,Autosomal_recessive_cerebellar_ataxia_due_to_STUB1_deficiency,1,0,2,0,2,1,0,7,0,1,1,0,3,1,0,0,0,0,0,0,1,1,3,0,3,1,0,2
ataxia,Autosomal_recessive_cerebellar_ataxia_with_late_onset_spasticity,1,0,1,0,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0
ataxia,Autosomal_recessive_cerebellar_ataxia_movement_disorder_syndrome,1,0,0,0,2,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
ataxia,Autosomal_recessive_cerebellar_ataxia_psychomotor_delay_syndrome,0,0,0,0,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ataxia,Autosomal_recessive_cerebellar_ataxia_pyramidal_signs_nystagmus_oculomotor_apraxia_syndrome,0,0,2,0,3,1,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
